trace1;I y;I c;I z
trace1;166;19;5995
trace1;220;35;7955
trace1;253;32;9140
trace1;208;31;7519
trace1;182;14;6566
trace1;229;15;8259
trace1;158;27;5715
trace1;157;2;5654
trace1;224;21;8085
trace1;135;4;4864
trace1;146;30;5286
trace1;250;14;9014
trace1;128;17;4625
trace1;245;29;8849
trace1;152;20;5492
trace1;205;27;7407
trace1;142;33;5145
trace1;213;2;7670
trace1;187;36;6768
trace1;211;31;7627
trace1;245;8;8828
trace1;242;30;8742
trace1;224;31;8095
trace1;160;27;5787
trace1;237;7;8539
trace1;183;19;6607
trace1;216;17;7793
trace1;229;33;8277
trace1;193;15;6963
trace1;133;17;4805
trace1;204;1;7345
trace1;129;24;4668
trace1;186;1;6697
trace1;232;3;8355
trace1;205;15;7395
trace1;250;33;9033
trace1;189;8;6812
trace1;185;4;6664
trace1;236;12;8508
trace1;145;24;5244
trace1;223;33;8061
trace1;226;6;8142
trace1;134;13;4837
trace1;144;14;5198
trace1;251;1;9037
trace1;237;19;8551
trace1;217;0;7812
trace1;197;28;7120
trace1;213;16;7684
trace1;134;7;4831
trace1;214;36;7740
trace1;211;0;7596
trace1;171;18;6174
trace1;210;30;7590
trace1;153;13;5521
trace1;194;21;7005
trace1;142;21;5133
trace1;162;30;5862
trace1;194;35;7019
trace1;199;26;7190
trace1;142;21;5133
trace1;156;17;5633
trace1;141;9;5085
trace1;241;8;8684
trace1;244;26;8810
trace1;201;18;7254
trace1;183;4;6592
trace1;239;29;8633
trace1;196;9;7065
trace1;220;16;7936
trace1;224;34;8098
trace1;221;25;7981
trace1;221;22;7978
trace1;250;4;9004
trace1;239;25;8629
trace1;237;6;8538
trace1;205;7;7387
trace1;200;11;7211
trace1;239;15;8619
trace1;177;19;6391
trace1;181;1;6517
trace1;198;28;7156
trace1;228;36;8244
trace1;169;16;6100
trace1;173;32;6260
trace1;164;18;5922
trace1;249;14;8978
trace1;225;3;8103
trace1;207;24;7476
trace1;217;11;7823
trace1;170;28;6148
trace1;152;30;5502
trace1;134;13;4837
trace1;142;1;5113
